0	3.6665136934493248
0.5	4.0921391054548035
1.	5.117369246464941
1.5	6.41160824591421
2.	7.8195965094960505
2.5	9.280639447767573
3.	10.769278422151165
3.5	12.273666721911983
4.	13.78770366723629
4.5	15.307993236650884
5.	16.832551246419303
5.5	18.360124791739665
6.	19.88990013913586
6.5	21.421323637594867
7.	22.954020120855358
7.5	24.487695217560834
8.	26.022142010473367
8.5	27.55721363369718
9.	29.092567069033574
9.5	30.6270493434436
10.	32.15598631072357
10.5	33.68492327800354
11.	35.21386024528351
11.5	36.74279721256349
12.	38.271734179843456
12.5	39.800671147123424
13.	41.3296081144034
13.5	42.858545081683374
14.	44.38748204896334
14.5	45.91641901624331
15.	47.445355983523285
15.5	48.97429295080326
16.	50.50322991808323
16.5	52.032166885363196
17.	53.56110385264317
17.5	55.090040819923146
18.	56.618977787203114
18.5	58.14791475448308
19.	59.67685172176306
19.5	61.20578868904303
20.	62.73472565632301
20.5	64.26366262360297
21.	65.79259959088294
21.5	67.32153655816292
22.	68.8504735254429
22.5	70.37941049272285
23.	71.90834746000283
23.5	73.4372844272828
24.	74.96622139456278
24.5	76.49515836184274
25.	78.02409532912272
25.5	79.55303229640269
26.	81.08196926368267
26.5	82.61090623096263
27.	84.1398431982426
27.5	85.66878016552258
28.	87.19771713280255
28.5	88.72665410008251
29.	90.25559106736249
29.5	91.78452803464246
30.	93.31346500192244
30.5	94.84240196920241
31.	96.37133893648237
31.5	97.90027590376235
32.	99.42921287104232
32.5	100.95814983832229
33.	102.48708680560226
33.5	104.01602377288224
34.	105.54496074016221
34.5	107.07389770744219
35.	108.60283467472215
35.5	110.13177164200212
36.	111.6607086092821
36.5	113.18964557656206
37.	114.71858254384203
37.5	116.24751951112201
38.	117.77645647840198
38.5	119.30539344568196
39.	120.83433041296192
39.5	122.3632673802419
40.	123.89220434752187
